Survived,Sex,Name
0,male,Mr. Owen Harris Braund
1,female,Mrs. John Bradley (Florence Briggs Thayer) Cumings
1,female,Miss. Laina Heikkinen
1,female,Mrs. Jacques Heath (Lily May Peel) Futrelle
0,male,Mr. William Henry Allen
0,male,Mr. James Moran
0,male,Mr. Timothy J McCarthy
0,male,Master. Gosta Leonard Palsson
1,female,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson
1,female,Mrs. Nicholas (Adele Achem) Nasser
1,female,Miss. Marguerite Rut Sandstrom
1,female,Miss. Elizabeth Bonnell
0,male,Mr. William Henry Saundercock
0,male,Mr. Anders Johan Andersson
0,female,Miss. Hulda Amanda Adolfina Vestrom
1,female,Mrs. (Mary D Kingcome) Hewlett
0,male,Master. Eugene Rice
1,male,Mr. Charles Eugene Williams
0,female,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke
1,female,Mrs. Fatima Masselmani
0,male,Mr. Joseph J Fynney
1,male,Mr. Lawrence Beesley
1,female,Miss. Anna McGowan
1,male,Mr. William Thompson Sloper
0,female,Miss. Torborg Danira Palsson
1,female,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund
0,male,Mr. Farred Chehab Emir
0,male,Mr. Charles Alexander Fortune
1,female,Miss. Ellen O'Dwyer
0,male,Mr. Lalio Todoroff
0,male,Don. Manuel E Uruchurtu
1,female,Mrs. William Augustus (Marie Eugenie) Spencer
1,female,Miss. Mary Agatha Glynn
0,male,Mr. Edward H Wheadon
0,male,Mr. Edgar Joseph Meyer
0,male,Mr. Alexander Oskar Holverson
1,male,Mr. Hanna Mamee
0,male,Mr. Ernest Charles Cann
0,female,Miss. Augusta Maria Vander Planke
1,female,Miss. Jamila Nicola-Yarred
0,female,Mrs. Johan (Johanna Persdotter Larsson) Ahlin
0,female,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin
1,female,Miss. Simonne Marie Anne Andree Laroche
1,female,Miss. Margaret Delia Devaney
0,male,Mr. William John Rogers
0,male,Mr. Denis Lennon
1,female,Miss. Bridget O'Driscoll
0,male,Mr. Youssef Samaan
0,female,Mrs. Josef (Josefine Franchi) Arnold-Franchi
0,male,Master. Juha Niilo Panula
0,male,Mr. Richard Cater Nosworthy
1,female,Mrs. Henry Sleeper (Myna Haxtun) Harper
1,female,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe
0,male,Mr. Engelhart Cornelius Ostby
1,male,Mr. Hugh Woolner
1,female,Miss. Emily Rugg
0,male,Mr. Mansouer Novel
1,female,Miss. Constance Mirium West
0,male,Master. William Frederick Goodwin
0,male,Mr. Orsen Sirayanian
1,female,Miss. Amelie Icard
0,male,Mr. Henry Birkhardt Harris
0,male,Master. Harald Skoog
0,male,Mr. Albert A Stewart
1,male,Master. Gerios Moubarek
1,female,Mrs. (Elizabeth Ramell) Nye
0,male,Mr. Ernest James Crease
1,female,Miss. Erna Alexandra Andersson
0,male,Mr. Vincenz Kink
0,male,Mr. Stephen Curnow Jenkin
0,female,Miss. Lillian Amy Goodwin
0,male,Mr. Ambrose Jr Hood
0,male,Mr. Apostolos Chronopoulos
1,male,Mr. Lee Bing
0,male,Mr. Sigurd Hansen Moen
0,male,Mr. Ivan Staneff
0,male,Mr. Rahamin Haim Moutal
1,male,Master. Alden Gates Caldwell
1,female,Miss. Elizabeth Dowdell
0,male,Mr. Achille Waelens
1,male,Mr. Jan Baptist Sheerlinck
1,female,Miss. Brigdet Delia McDermott
0,male,Mr. Francisco M Carrau
1,female,Miss. Bertha Ilett
1,female,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom
0,male,Mr. William Neal Ford
0,male,Mr. Selman Francis Slocovski
1,female,Miss. Mabel Helen Fortune
0,male,Mr. Francesco Celotti
0,male,Mr. Emil Christmann
0,male,Mr. Paul Edvin Andreasson
0,male,Mr. Herbert Fuller Chaffee
0,male,Mr. Bertram Frank Dean
0,male,Mr. Daniel Coxon
0,male,Mr. Charles Joseph Shorney
0,male,Mr. George B Goldschmidt
1,male,Mr. William Bertram Greenfield
1,female,Mrs. John T (Ada Julia Bone) Doling
0,male,Mr. Sinai Kantor
0,female,Miss. Matilda Petranec
0,male,Mr. Pastcho Petroff
0,male,Mr. Richard Frasar White
0,male,Mr. Gustaf Joel Johansson
0,male,Mr. Anders Vilhelm Gustafsson
0,male,Mr. Stoytcho Mionoff
1,female,Miss. Anna Kristine Salkjelsvik
1,male,Mr. Albert Johan Moss
0,male,Mr. Tido Rekic
1,female,Miss. Bertha Moran
0,male,Mr. Walter Chamberlain Porter
0,female,Miss. Hileni Zabour
0,male,Mr. David John Barton
0,female,Miss. Katriina Jussila
0,female,Miss. Malake Attalah
0,male,Mr. Edvard Pekoniemi
0,male,Mr. Patrick Connors
0,male,Mr. William John Robert Turpin
0,male,Mr. Quigg Edmond Baxter
0,female,Miss. Ellis Anna Maria Andersson
0,male,Mr. Stanley George Hickman
0,male,Mr. Leonard Charles Moore
0,male,Mr. Nicholas Nasser
1,female,Miss. Susan Webber
0,male,Mr. Percival Wayland White
1,male,Master. Elias Nicola-Yarred
0,male,Mr. Martin McMahon
1,male,Mr. Fridtjof Arne Madsen
1,female,Miss. Anna Peter
0,male,Mr. Johan Ekstrom
0,male,Mr. Jozef Drazenoic
0,male,Mr. Domingos Fernandeo Coelho
0,female,Mrs. Alexander A (Grace Charity Laury) Robins
1,female,Mrs. Leopold (Mathilde Francoise Pede) Weisz
0,male,Mr. Samuel James Hayden Sobey
0,male,Mr. Emile Richard
1,female,Miss. Helen Monypeny Newsom
0,male,Mr. Jacques Heath Futrelle
0,male,Mr. Olaf Elon Osen
0,male,Mr. Victor Giglio
0,female,Mrs. Joseph (Sultana) Boulos
1,female,Miss. Anna Sofia Nysten
1,female,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen
0,male,Mr. Jeremiah Burke
0,male,Mr. Edgardo Samuel Andrew
0,male,Mr. Joseph Charles Nicholls
1,male,Mr. August Edvard Andersson
0,female,Miss. Robina Maggie Ford
0,male,Mr. Michel Navratil
0,male,Rev. Thomas Roussel Davids Byles
0,male,Rev. Robert James Bateman
1,female,Mrs. Thomas (Edith Wearne) Pears
0,male,Mr. Alfonzo Meo
0,male,Mr. Austin Blyler van Billiard
0,male,Mr. Ole Martin Olsen
0,male,Mr. Charles Duane Williams
1,female,Miss. Katherine Gilnagh
0,male,Mr. Harry Corn
0,male,Mr. Mile Smiljanic
0,male,Master. Thomas Henry Sage
0,male,Mr. John Hatfield Cribb
1,female,Mrs. James (Elizabeth Inglis Milne) Watt
0,male,Mr. John Viktor Bengtsson
0,male,Mr. Jovo Calic
0,male,Master. Eino Viljami Panula
1,male,Master. Frank John William Goldsmith
1,female,Mrs. (Edith Martha Bowerman) Chibnall
0,female,Mrs. William (Anna Bernhardina Karlsson) Skoog
0,male,Mr. John D Baumann
0,male,Mr. Lee Ling
0,male,Mr. Wyckoff Van der hoef
0,male,Master. Arthur Rice
1,female,Miss. Eleanor Ileen Johnson
0,male,Mr. Antti Wilhelm Sivola
0,male,Mr. James Clinch Smith
0,male,Mr. Klas Albin Klasen
0,male,Master. Henry Forbes Lefebre
0,female,Miss. Ann Elizabeth Isham
0,male,Mr. Reginald Hale
0,male,Mr. Lionel Leonard
0,female,Miss. Constance Gladys Sage
0,male,Mr. Rene Pernot
0,male,Master. Clarence Gustaf Hugo Asplund
1,male,Master. Richard F Becker
1,female,Miss. Luise Gretchen Kink-Heilmann
0,male,Mr. Hugh Roscoe Rood
1,female,Mrs. Thomas (Johanna Godfrey) O'Brien
1,male,Mr. Charles Hallace Romaine
0,male,Mr. John Bourke
0,male,Mr. Stjepan Turcin
1,female,Mrs. (Rosa) Pinsky
0,male,Mr. William Carbines
1,female,Miss. Carla Christine Nielsine Andersen-Jensen
1,male,Master. Michel M Navratil
1,female,Mrs. James Joseph (Margaret Tobin) Brown
1,female,Miss. Elise Lurette
0,male,Mr. Robert Mernagh
0,male,Mr. Karl Siegwart Andreas Olsen
1,female,Miss. Margaret Madigan
0,female,Miss. Henriette Yrois
0,male,Mr. Nestor Cyriel Vande Walle
0,male,Mr. Frederick Sage
0,male,Mr. Jakob Alfred Johanson
0,male,Mr. Gerious Youseff
1,male,Mr. Gurshon Cohen
0,female,Miss. Telma Matilda Strom
0,male,Mr. Karl Alfred Backstrom
1,male,Mr. Nassef Cassem Albimona
1,female,Miss. Helen Carr
1,male,Mr. Henry Blank
0,male,Mr. Ahmed Ali
1,female,Miss. Clear Annie Cameron
0,male,Mr. John Henry Perkin
0,male,Mr. Hans Kristensen Givard
0,male,Mr. Philip Kiernan
1,female,Miss. Madeleine Newell
1,female,Miss. Eliina Honkanen
0,male,Mr. Sidney Samuel Jacobsohn
1,female,Miss. Albina Bazzani
0,male,Mr. Walter Harris
1,male,Mr. Victor Francis Sunderland
0,male,Mr. James H Bracken
0,male,Mr. George Henry Green
0,male,Mr. Christo Nenkoff
1,male,Mr. Frederick Maxfield Hoyt
0,male,Mr. Karl Ivar Sven Berglund
1,male,Mr. William John Mellors
0,male,Mr. John Hall Lovell
0,male,Mr. Arne Jonas Fahlstrom
0,female,Miss. Mathilde Lefebre
1,female,Mrs. Henry Birkhardt (Irene Wallach) Harris
0,male,Mr. Bengt Edvin Larsson
0,male,Mr. Ernst Adolf Sjostedt
1,female,Miss. Lillian Gertrud Asplund
0,male,Mr. Robert William Norman Leyson
0,female,Miss. Alice Phoebe Harknett
0,male,Mr. Stephen Hold
1,female,Miss. Marjorie Collyer
0,male,Mr. Frederick William Pengelly
0,male,Mr. George Henry Hunt
0,female,Miss. Thamine Zabour
1,female,Miss. Katherine Murphy
0,male,Mr. Reginald Charles Coleridge
0,male,Mr. Matti Alexanteri Maenpaa
0,male,Mr. Sleiman Attalah
0,male,Dr. William Edward Minahan
0,female,Miss. Agda Thorilda Viktoria Lindahl
1,female,Mrs. William (Anna) Hamalainen
1,male,Mr. Richard Leonard Beckwith
0,male,Rev. Ernest Courtenay Carter
0,male,Mr. James George Reed
0,female,Mrs. Wilhelm (Elna Matilda Persson) Strom
0,male,Mr. William Thomas Stead
0,male,Mr. William Arthur Lobb
0,female,Mrs. Viktor (Helena Wilhelmina) Rosblom
1,female,Mrs. Darwis (Hanne Youssef Razi) Touma
1,female,Mrs. Gertrude Maybelle Thorne
1,female,Miss. Gladys Cherry
1,female,Miss. Anna Ward
1,female,Mrs. (Lutie Davis) Parrish
1,male,Master. Edvin Rojj Felix Asplund
0,male,Mr. Emil Taussig
0,male,Mr. William Harrison
0,female,Miss. Delia Henry
0,male,Mr. David Reeves
0,male,Mr. Ernesti Arvid Panula
1,male,Mr. Ernst Ulrik Persson
1,female,Mrs. William Thompson (Edith Junkins) Graham
1,female,Miss. Amelia Bissette
0,male,Mr. Alexander Cairns
1,male,Mr. William Henry Tornquist
1,female,Mrs. (Elizabeth Anne Maidment) Mellinger
0,male,Mr. Charles H Natsch
1,female,Miss. Hanora Healy
1,female,Miss. Kornelia Theodosia Andrews
0,female,Miss. Augusta Charlotta Lindblom
0,male,Mr. Francis Parkes
0,male,Master. Eric Rice
1,female,Mrs. Stanton (Rosa Hunt) Abbott
0,male,Mr. Frank Duane
0,male,Mr. Nils Johan Goransson Olsson
0,male,Mr. Alfons de Pelsmaeker
1,male,Mr. Edward Arthur Dorking
0,male,Mr. Richard William Smith
0,male,Mr. Ivan Stankovic
1,male,Mr. Theodore de Mulder
0,male,Mr. Penko Naidenoff
1,male,Mr. Masabumi Hosono
1,female,Miss. Kate Connolly
1,female,Miss. Ellen Barber
1,female,Mrs. Dickinson H (Helen Walton) Bishop
0,male,Mr. Rene Jacques Levy
0,female,Miss. Aloisia Haas
0,male,Mr. Ivan Mineff
0,male,Mr. Ervin G Lewy
0,male,Mr. Mansour Hanna
0,female,Miss. Helen Loraine Allison
1,male,Mr. Adolphe Saalfeld
1,female,Mrs. James (Helene DeLaudeniere Chaput) Baxter
1,female,Miss. Anna Katherine Kelly
1,male,Mr. Bernard McCoy
0,male,Mr. William Cahoone Jr Johnson
1,female,Miss. Nora A Keane
0,male,Mr. Howard Hugh Williams
1,male,Master. Hudson Trevor Allison
1,female,Miss. Margaret Fleming
1,female,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana
0,male,Mr. Samuel Abelson
1,female,Miss. Laura Mabel Francatelli
1,female,Miss. Margaret Bechstein Hays
1,female,Miss. Emily Borie Ryerson
0,female,Mrs. William (Anna Sylfven) Lahtinen
0,male,Mr. Ignjac Hendekovic
0,male,Mr. Benjamin Hart
1,female,Miss. Helmina Josefina Nilsson
1,female,Mrs. Sinai (Miriam Sternin) Kantor
0,male,Dr. Ernest Moraweck
1,female,Miss. Mary Natalie Wick
1,female,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden
0,male,Mr. Samuel Dennis
0,male,Mr. Yoto Danoff
1,female,Miss. Hilda Mary Slayter
1,female,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell
0,male,Mr. George John Jr Sage
1,female,Miss. Marie Grice Young
0,male,Mr. Johan Hansen Nysveen
1,female,Mrs. (Ada E Hall) Ball
1,female,Mrs. Frank John (Emily Alice Brown) Goldsmith
1,female,Miss. Jean Gertrude Hippach
1,female,Miss. Agnes McCoy
0,male,Mr. Austen Partner
0,male,Mr. George Edward Graham
0,male,Mr. Leo Edmondus Vander Planke
1,female,Mrs. Henry William (Clara Heinsheimer) Frauenthal
0,male,Mr. Mitto Denkoff
0,male,Mr. Thomas Clinton Pears
1,female,Miss. Elizabeth Margaret Burns
1,male,Mr. Karl Edwart Dahl
0,male,Mr. Stephen Weart Blackwell
1,male,Master. Edmond Roger Navratil
1,female,Miss. Alice Elizabeth Fortune
0,male,Mr. Erik Gustaf Collander
0,male,Mr. Charles Frederick Waddington Sedgwick
0,male,Mr. Stanley Hubert Fox
1,female,Miss. Amelia Brown
1,female,Miss. Marion Elsie Smith
1,female,Mrs. Thomas Henry (Mary E Finck) Davison
1,male,Master. William Loch Coutts
0,male,Mr. Jovan Dimic
0,male,Mr. Nils Martin Odahl
0,male,Mr. Fletcher Fellows Williams-Lambert
0,male,Mr. Tannous Elias
0,male,Mr. Josef Arnold-Franchi
0,male,Mr. Wazli Yousif
0,male,Mr. Leo Peter Vanden Steen
1,female,Miss. Elsie Edith Bowerman
0,female,Miss. Annie Clemmer Funk
1,female,Miss. Mary McGovern
1,female,Miss. Helen Mary Mockler
0,male,Mr. Wilhelm Skoog
0,male,Mr. Sebastiano del Carlo
0,female,Mrs. (Catherine David) Barbara
0,male,Mr. Adola Asim
0,male,Mr. Thomas O'Brien
0,male,Mr. Mauritz Nils Martin Adahl
1,female,Mrs. Frank Manley (Anna Sophia Atkinson) Warren
1,female,Mrs. (Mantoura Boulos) Moussa
1,female,Miss. Annie Jermyn
1,female,Mme. Leontine Pauline Aubart
1,male,Mr. George Achilles Harder
0,male,Mr. Jakob Alfred Wiklund
0,male,Mr. William Thomas Beavan
0,male,Mr. Sante Ringhini
0,female,Miss. Stina Viola Palsson
1,female,Mrs. Edgar Joseph (Leila Saks) Meyer
1,female,Miss. Aurora Adelia Landergren
0,male,Mr. Harry Elkins Widener
0,male,Mr. Tannous Betros
0,male,Mr. Karl Gideon Gustafsson
1,female,Miss. Rosalie Bidois
1,female,Miss. Maria Nakid
0,male,Mr. Juho Tikkanen
1,female,Mrs. Alexander Oskar (Mary Aline Towner) Holverson
0,male,Mr. Vasil Plotcharsky
0,male,Mr. Charles Henry Davies
0,male,Master. Sidney Leonard Goodwin
1,female,Miss. Kate Buss
0,male,Mr. Matthew Sadlier
1,female,Miss. Bertha Lehmann
1,male,Mr. William Ernest Carter
1,male,Mr. Carl Olof Jansson
0,male,Mr. Johan Birger Gustafsson
1,female,Miss. Marjorie Newell
1,female,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom
0,male,Mr. Erik Johansson
0,female,Miss. Elina Olsson
0,male,Mr. Peter David McKane
0,male,Dr. Alfred Pain
1,female,Mrs. William H (Jessie L) Trout
1,male,Mr. Juha Niskanen
0,male,Mr. John Adams
0,female,Miss. Mari Aina Jussila
0,male,Mr. Pekka Pietari Hakkarainen
0,female,Miss. Marija Oreskovic
0,male,Mr. Shadrach Gale
0,male,Mr. Carl/Charles Peter Widegren
1,male,Master. William Rowe Richards
0,male,Mr. Hans Martin Monsen Birkeland
0,female,Miss. Ida Lefebre
0,male,Mr. Todor Sdycoff
0,male,Mr. Henry Hart
1,female,Miss. Daisy E Minahan
0,male,Mr. Alfred Fleming Cunningham
1,male,Mr. Johan Julian Sundman
0,female,Mrs. Thomas (Annie Louise Rowley) Meek
1,female,Mrs. James Vivian (Lulu Thorne Christian) Drew
1,female,Miss. Lyyli Karoliina Silven
0,male,Mr. William John Matthews
0,female,Miss. Catharina Van Impe
0,male,Mr. David Charters
0,male,Mr. Leo Zimmerman
0,female,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom
0,male,Mr. Viktor Richard Rosblom
0,male,Mr. Phillippe Wiseman
1,female,Mrs. Charles V (Ada Maria Winfield) Clarke
1,female,Miss. Kate Florence Phillips
0,male,Mr. James Flynn
1,male,Mr. Berk (Berk Trembisky) Pickard
1,male,Mr. Mauritz Hakan Bjornstrom-Steffansson
1,female,Mrs. Percival (Florence Kate White) Thorneycroft
1,female,Mrs. Charles Alexander (Alice Adelaide Slow) Louch
0,male,Mr. Nikolai Erland Kallio
0,male,Mr. William Baird Silvey
1,female,Miss. Lucile Polk Carter
0,female,Miss. Doolina Margaret Ford
1,female,Mrs. Sidney (Emily Hocking) Richards
0,male,Mr. Mark Fortune
0,male,Mr. Johan Henrik Johannesson Kvillner
1,female,Mrs. Benjamin (Esther Ada Bloomfield) Hart
0,male,Mr. Leon Hampe
