survived,sex,age,class,alone
0,male,22.0,Third,False
1,female,38.0,First,False
1,female,26.0,Third,True
1,female,35.0,First,False
0,male,35.0,Third,True
0,male,,Third,True
0,male,54.0,First,True
0,male,2.0,Third,False
1,female,27.0,Third,False
1,female,14.0,Second,False
1,female,4.0,Third,False
1,female,58.0,First,True
0,male,20.0,Third,True
0,male,39.0,Third,False
0,female,14.0,Third,True
1,female,55.0,Second,True
0,male,2.0,Third,False
1,male,,Second,True
0,female,31.0,Third,False
1,female,,Third,True
0,male,35.0,Second,True
1,male,34.0,Second,True
1,female,15.0,Third,True
1,male,28.0,First,True
0,female,8.0,Third,False
1,female,38.0,Third,False
0,male,,Third,True
0,male,19.0,First,False
1,female,,Third,True
0,male,,Third,True
0,male,40.0,First,True
1,female,,First,False
1,female,,Third,True
0,male,66.0,Second,True
0,male,28.0,First,False
0,male,42.0,First,False
1,male,,Third,True
0,male,21.0,Third,True
0,female,18.0,Third,False
1,female,14.0,Third,False
0,female,40.0,Third,False
0,female,27.0,Second,False
0,male,,Third,True
1,female,3.0,Second,False
1,female,19.0,Third,True
0,male,,Third,True
0,male,,Third,False
1,female,,Third,True
0,male,,Third,False
0,female,18.0,Third,False
0,male,7.0,Third,False
0,male,21.0,Third,True
1,female,49.0,First,False
1,female,29.0,Second,False
0,male,65.0,First,False
1,male,,First,True
1,female,21.0,Second,True
0,male,28.5,Third,True
1,female,5.0,Second,False
0,male,11.0,Third,False
0,male,22.0,Third,True
1,female,38.0,First,True
0,male,45.0,First,False
0,male,4.0,Third,False
0,male,,First,True
1,male,,Third,False
1,female,29.0,Second,True
0,male,19.0,Third,True
1,female,17.0,Third,False
0,male,26.0,Third,False
0,male,32.0,Second,True
0,female,16.0,Third,False
0,male,21.0,Second,True
0,male,26.0,Third,False
1,male,32.0,Third,True
0,male,25.0,Third,True
0,male,,Third,True
0,male,,Third,True
1,male,0.83,Second,False
1,female,30.0,Third,True
0,male,22.0,Third,True
1,male,29.0,Third,True
1,female,,Third,True
0,male,28.0,First,True
1,female,17.0,Second,True
1,female,33.0,Third,False
0,male,16.0,Third,False
0,male,,Third,True
1,female,23.0,First,False
0,male,24.0,Third,True
0,male,29.0,Third,True
0,male,20.0,Third,True
0,male,46.0,First,False
0,male,26.0,Third,False
0,male,59.0,Third,True
0,male,,Third,True
0,male,71.0,First,True
1,male,23.0,First,False
1,female,34.0,Second,False
0,male,34.0,Second,False
0,female,28.0,Third,True
0,male,,Third,True
0,male,21.0,First,False
0,male,33.0,Third,True
0,male,37.0,Third,False
0,male,28.0,Third,True
1,female,21.0,Third,True
1,male,,Third,True
0,male,38.0,Third,True
1,female,,Third,False
0,male,47.0,First,True
0,female,14.5,Third,False
0,male,22.0,Third,True
0,female,20.0,Third,False
0,female,17.0,Third,True
0,male,21.0,Third,True
0,male,70.5,Third,True
0,male,29.0,Second,False
0,male,24.0,First,False
0,female,2.0,Third,False
0,male,21.0,Second,False
0,male,,Third,True
0,male,32.5,Second,False
1,female,32.5,Second,True
0,male,54.0,First,False
1,male,12.0,Third,False
0,male,,Third,True
1,male,24.0,Third,True
1,female,,Third,False
0,male,45.0,Third,True
0,male,33.0,Third,True
0,male,20.0,Third,True
0,female,47.0,Third,False
1,female,29.0,Second,False
0,male,25.0,Second,True
0,male,23.0,Second,True
1,female,19.0,First,False
0,male,37.0,First,False
0,male,16.0,Third,True
0,male,24.0,First,True
0,female,,Third,False
1,female,22.0,Third,True
1,female,24.0,Third,False
0,male,19.0,Third,True
0,male,18.0,Second,True
0,male,19.0,Second,False
1,male,27.0,Third,True
0,female,9.0,Third,False
0,male,36.5,Second,False
0,male,42.0,Second,True
0,male,51.0,Second,True
1,female,22.0,First,False
0,male,55.5,Third,True
0,male,40.5,Third,False
0,male,,Third,True
0,male,51.0,First,False
1,female,16.0,Third,True
0,male,30.0,Third,True
0,male,,Third,True
0,male,,Third,False
0,male,44.0,Third,False
1,female,40.0,Second,True
0,male,26.0,Third,True
0,male,17.0,Third,True
0,male,1.0,Third,False
1,male,9.0,Third,False
1,female,,First,False
0,female,45.0,Third,False
0,male,,First,True
0,male,28.0,Third,True
0,male,61.0,First,True
0,male,4.0,Third,False
1,female,1.0,Third,False
0,male,21.0,Third,True
0,male,56.0,First,True
0,male,18.0,Third,False
0,male,,Third,False
0,female,50.0,First,True
0,male,30.0,Second,True
0,male,36.0,Third,True
0,female,,Third,False
0,male,,Second,True
0,male,9.0,Third,False
1,male,1.0,Second,False
1,female,4.0,Third,False
0,male,,First,True
1,female,,Third,False
1,male,45.0,First,True
0,male,40.0,Third,False
0,male,36.0,Third,True
1,female,32.0,Second,True
0,male,19.0,Second,True
1,female,19.0,Third,False
1,male,3.0,Second,False
1,female,44.0,First,True
1,female,58.0,First,True
0,male,,Third,True
0,male,42.0,Third,False
1,female,,Third,True
0,female,24.0,Second,True
0,male,28.0,Third,True
0,male,,Third,False
0,male,34.0,Third,True
0,male,45.5,Third,True
1,male,18.0,Third,True
0,female,2.0,Third,False
0,male,32.0,Third,False
1,male,26.0,Third,True
1,female,16.0,Third,True
1,male,40.0,First,True
0,male,24.0,Third,True
1,female,35.0,Second,True
0,male,22.0,Third,True
0,male,30.0,Second,True
0,male,,Third,False
1,female,31.0,First,False
1,female,27.0,Third,True
0,male,42.0,Second,False
1,female,32.0,First,True
0,male,30.0,Second,True
1,male,16.0,Third,True
0,male,27.0,Second,True
0,male,51.0,Third,True
0,male,,Third,True
1,male,38.0,First,False
0,male,22.0,Third,True
1,male,19.0,Second,True
0,male,20.5,Third,True
0,male,18.0,Second,True
0,female,,Third,False
1,female,35.0,First,False
0,male,29.0,Third,True
0,male,59.0,Second,True
1,female,5.0,Third,False
0,male,24.0,Second,True
0,female,,Third,True
0,male,44.0,Second,False
1,female,8.0,Second,False
0,male,19.0,Second,True
0,male,33.0,Second,True
0,female,,Third,False
1,female,,Third,False
0,male,29.0,Second,True
0,male,22.0,Third,True
0,male,30.0,Third,True
0,male,44.0,First,False
0,female,25.0,Third,True
1,female,24.0,Second,False
1,male,37.0,First,False
0,male,54.0,Second,False
0,male,,Third,True
0,female,29.0,Third,False
0,male,62.0,First,True
0,male,30.0,Third,False
0,female,41.0,Third,False
1,female,29.0,Third,False
1,female,,First,True
1,female,30.0,First,True
1,female,35.0,First,True
1,female,50.0,Second,False
0,male,,Third,True
1,male,3.0,Third,False
0,male,52.0,First,False
0,male,40.0,First,True
0,female,,Third,True
0,male,36.0,Second,True
0,male,16.0,Third,False
1,male,25.0,Third,False
1,female,58.0,First,False
1,female,35.0,First,True
0,male,,First,True
1,male,25.0,Third,True
1,female,41.0,Second,False
0,male,37.0,First,False
1,female,,Third,True
1,female,63.0,First,False
0,female,45.0,Third,True
0,male,,Second,True
0,male,7.0,Third,False
1,female,35.0,Third,False
0,male,65.0,Third,True
0,male,28.0,Third,True
0,male,16.0,Third,True
1,male,19.0,Third,True
0,male,,First,True
0,male,33.0,Third,True
1,male,30.0,Third,True
0,male,22.0,Third,True
1,male,42.0,Second,True
1,female,22.0,Third,True
1,female,26.0,First,True
1,female,19.0,First,False
0,male,36.0,Second,True
0,female,24.0,Third,True
0,male,24.0,Third,True
0,male,,First,True
0,male,23.5,Third,True
0,female,2.0,First,False
1,male,,First,True
1,female,50.0,First,False
1,female,,Third,True
1,male,,Third,False
0,male,19.0,Third,True
1,female,,Second,True
0,male,,Third,True
1,male,0.92,First,False
1,female,,First,True
1,female,17.0,First,False
0,male,30.0,Second,False
1,female,30.0,First,True
1,female,24.0,First,True
1,female,18.0,First,False
0,female,26.0,Second,False
0,male,28.0,Third,True
0,male,43.0,Second,False
1,female,26.0,Third,True
1,female,24.0,Second,False
0,male,54.0,Second,True
1,female,31.0,First,False
1,female,40.0,First,False
0,male,22.0,Third,True
0,male,27.0,Third,True
1,female,30.0,Second,True
1,female,22.0,Second,False
0,male,,Third,False
1,female,36.0,First,True
0,male,61.0,Third,True
1,female,36.0,Second,True
1,female,31.0,Third,False
1,female,16.0,First,False
1,female,,Third,False
0,male,45.5,First,True
0,male,38.0,First,False
0,male,16.0,Third,False
1,female,,First,False
0,male,,Third,True
0,male,29.0,First,False
1,female,41.0,First,True
1,male,45.0,Third,True
0,male,45.0,First,True
1,male,2.0,Second,False
1,female,24.0,First,False
0,male,28.0,Second,True
0,male,25.0,Second,True
0,male,36.0,Second,True
1,female,24.0,Second,True
1,female,40.0,Second,True
1,female,,Third,False
1,male,3.0,Third,False
0,male,42.0,Third,True
0,male,23.0,Third,True
0,male,,First,True
0,male,15.0,Third,False
0,male,25.0,Third,False
0,male,,Third,True
0,male,28.0,Third,True
1,female,22.0,First,False
0,female,38.0,Second,True
1,female,,Third,True
1,female,,Third,True
0,male,40.0,Third,False
0,male,29.0,Second,False
0,female,45.0,Third,False
0,male,35.0,Third,True
0,male,,Third,False
0,male,30.0,Third,True
1,female,60.0,First,False
1,female,,Third,True
1,female,,Third,True
1,female,24.0,First,True
1,male,25.0,First,False
0,male,18.0,Third,False
0,male,19.0,Third,True
0,male,22.0,First,True
0,female,3.0,Third,False
1,female,,First,False
1,female,22.0,Third,True
0,male,27.0,First,False
0,male,20.0,Third,True
0,male,19.0,Third,True
1,female,42.0,First,True
1,female,1.0,Third,False
0,male,32.0,Third,True
1,female,35.0,First,False
0,male,,Third,True
0,male,18.0,Second,True
0,male,1.0,Third,False
1,female,36.0,Second,True
0,male,,Third,True
1,female,17.0,Second,True
1,male,36.0,First,False
1,male,21.0,Third,True
0,male,28.0,Third,False
1,female,23.0,First,False
1,female,24.0,Third,False
0,male,22.0,Third,True
0,female,31.0,Third,True
0,male,46.0,Second,True
0,male,23.0,Second,True
1,female,28.0,Second,True
1,male,39.0,Third,True
0,male,26.0,Third,True
0,female,21.0,Third,False
0,male,28.0,Third,False
0,female,20.0,Third,True
0,male,34.0,Second,False
0,male,51.0,Third,True
1,male,3.0,Second,False
0,male,21.0,Third,True
0,female,,Third,False
0,male,,Third,True
0,male,,Third,True
1,female,33.0,First,False
0,male,,Second,True
1,male,44.0,Third,True
0,female,,Third,True
1,female,34.0,Second,False
1,female,18.0,Second,False
0,male,30.0,Second,True
0,female,10.0,Third,False
0,male,,Third,True
0,male,21.0,Third,True
0,male,29.0,Third,True
0,female,28.0,Third,False
0,male,18.0,Third,False
0,male,,Third,True
1,female,28.0,Second,False
1,female,19.0,Second,True
0,male,,Third,True
1,male,32.0,Third,True
1,male,28.0,First,True
1,female,,Third,False
1,female,42.0,Second,False
0,male,17.0,Third,True
0,male,50.0,First,False
1,female,14.0,First,False
0,female,21.0,Third,False
1,female,24.0,Second,False
0,male,64.0,First,False
0,male,31.0,Second,True
1,female,45.0,Second,False
0,male,20.0,Third,True
0,male,25.0,Third,False
1,female,28.0,Second,True
1,male,,Third,True
1,male,4.0,First,False
1,female,13.0,Second,False
1,male,34.0,First,True
1,female,5.0,Third,False
1,male,52.0,First,True
0,male,36.0,Second,False
0,male,,Third,False
0,male,30.0,First,True
1,male,49.0,First,False
0,male,,Third,True
1,male,29.0,Third,True
0,male,65.0,First,True
1,female,,First,False
1,female,50.0,Second,True
0,male,,Third,True
1,male,48.0,First,True
0,male,34.0,Third,True
0,male,47.0,First,True
0,male,48.0,Second,True
0,male,,Third,True
0,male,38.0,Third,True
0,male,,Second,True
0,male,56.0,First,True
0,male,,Third,True
1,female,0.75,Third,False
0,male,,Third,True
0,male,38.0,Third,True
1,female,33.0,Second,False
1,female,23.0,Second,True
0,female,22.0,Third,True
0,male,,First,True
0,male,34.0,Second,False
0,male,29.0,Third,False
0,male,22.0,Third,True
1,female,2.0,Third,False
0,male,9.0,Third,False
0,male,,Second,True
0,male,50.0,Third,True
1,female,63.0,Third,True
1,male,25.0,First,False
0,female,,Third,False
1,female,35.0,First,False
0,male,58.0,First,True
0,male,30.0,Third,True
1,male,9.0,Third,False
0,male,,Third,False
0,male,21.0,Third,True
0,male,55.0,First,True
0,male,71.0,First,True
0,male,21.0,Third,True
0,male,,Third,True
1,female,54.0,First,False
0,male,,Third,True
0,female,25.0,First,False
0,male,24.0,Third,True
0,male,17.0,Third,True
0,female,21.0,Third,True
0,female,,Third,True
0,female,37.0,Third,True
1,female,16.0,First,True
0,male,18.0,First,False
1,female,33.0,Second,False
1,male,,First,True
0,male,28.0,Third,True
1,male,26.0,Third,True
1,male,29.0,Third,True
0,male,,Third,True
1,male,36.0,First,True
1,female,54.0,First,False
0,male,24.0,Third,True
0,male,47.0,First,True
1,female,34.0,Second,True
0,male,,Third,True
1,female,36.0,Second,False
0,male,32.0,Third,True
1,female,30.0,First,True
0,male,22.0,Third,True
0,male,,Third,True
1,female,44.0,First,False
0,male,,Third,True
0,male,40.5,Third,True
1,female,50.0,Second,True
0,male,,First,True
0,male,39.0,Third,True
0,male,23.0,Second,False
1,female,2.0,Second,False
0,male,,Third,True
0,male,17.0,Third,False
1,female,,Third,False
0,female,30.0,Third,True
1,female,7.0,Second,False
0,male,45.0,First,True
1,female,30.0,First,True
0,male,,Third,True
1,female,22.0,First,False
1,female,36.0,First,False
0,female,9.0,Third,False
0,female,11.0,Third,False
1,male,32.0,Second,False
0,male,50.0,First,False
0,male,64.0,First,True
1,female,19.0,Second,False
1,male,,Second,True
0,male,33.0,Third,False
1,male,8.0,Second,False
1,male,17.0,First,False
0,male,27.0,Second,True
0,male,,Third,True
1,male,22.0,Third,True
1,female,22.0,Third,True
0,male,62.0,First,True
1,female,48.0,First,False
0,male,,First,True
1,female,39.0,First,False
1,female,36.0,Third,False
0,male,,Third,True
0,male,40.0,Third,True
0,male,28.0,Second,True
0,male,,Third,True
0,female,,Third,True
0,male,24.0,Third,False
0,male,19.0,Third,True
0,female,29.0,Third,False
0,male,,Third,True
1,male,32.0,Third,True
1,male,62.0,Second,True
1,female,53.0,First,False
1,male,36.0,First,True
1,female,,Third,True
0,male,16.0,Third,True
0,male,19.0,Third,True
1,female,34.0,Second,True
1,female,39.0,First,False
0,female,,Third,False
1,male,32.0,Third,True
1,female,25.0,Second,False
1,female,39.0,First,False
0,male,54.0,Second,True
0,male,36.0,First,True
0,male,,Third,True
1,female,18.0,First,False
0,male,47.0,Second,True
1,male,60.0,First,False
0,male,22.0,Third,True
0,male,,Third,True
0,male,35.0,Third,True
1,female,52.0,First,False
0,male,47.0,Third,True
0,female,,Third,False
0,male,37.0,Second,False
0,male,36.0,Third,False
1,female,,Second,True
0,male,49.0,Third,True
0,male,,Third,True
1,male,49.0,First,False
1,female,24.0,Second,False
0,male,,Third,True
0,male,,First,True
0,male,44.0,Third,True
1,male,35.0,First,True
0,male,36.0,Third,False
0,male,30.0,Third,True
1,male,27.0,First,True
1,female,22.0,Second,False
1,female,40.0,First,True
0,female,39.0,Third,False
0,male,,Third,True
1,female,,Third,False
0,male,,Third,True
0,male,35.0,Third,True
1,female,24.0,Second,False
0,male,34.0,Third,False
0,female,26.0,Third,False
1,female,4.0,Second,False
0,male,26.0,Second,True
0,male,27.0,Third,False
1,male,42.0,First,False
1,male,20.0,Third,False
0,male,21.0,Third,True
0,male,21.0,Third,True
0,male,61.0,First,True
0,male,57.0,Second,True
1,female,21.0,First,True
0,male,26.0,Third,True
0,male,,Third,True
1,male,80.0,First,True
0,male,51.0,Third,True
1,male,32.0,First,True
0,male,,First,True
0,female,9.0,Third,False
1,female,28.0,Second,True
0,male,32.0,Third,True
0,male,31.0,Second,False
0,female,41.0,Third,False
0,male,,Third,False
0,male,20.0,Third,True
1,female,24.0,First,True
0,female,2.0,Third,False
1,male,,Third,True
1,female,0.75,Third,False
1,male,48.0,First,False
0,male,19.0,Third,True
1,male,56.0,First,True
0,male,,Third,True
1,female,23.0,Third,True
0,male,,Third,True
1,female,18.0,Second,False
0,male,21.0,Third,True
1,female,,Third,True
0,female,18.0,Third,True
0,male,24.0,Second,False
0,male,,Third,True
0,female,32.0,Third,False
0,male,23.0,Second,True
0,male,58.0,First,False
1,male,50.0,First,False
0,male,40.0,Third,True
0,male,47.0,First,True
0,male,36.0,Third,True
1,male,20.0,Third,False
0,male,32.0,Second,False
0,male,25.0,Second,True
0,male,,Third,True
0,male,43.0,Third,True
1,female,,First,False
1,female,40.0,Second,False
0,male,31.0,First,False
0,male,70.0,Second,True
1,male,31.0,Second,True
0,male,,Second,True
0,male,18.0,Third,True
0,male,24.5,Third,True
1,female,18.0,Third,True
0,female,43.0,Third,False
1,male,36.0,First,False
0,female,,Third,True
1,male,27.0,First,True
0,male,20.0,Third,True
0,male,14.0,Third,False
0,male,60.0,Second,False
0,male,25.0,Second,False
0,male,14.0,Third,False
0,male,19.0,Third,True
0,male,18.0,Third,True
1,female,15.0,First,False
1,male,31.0,First,False
1,female,4.0,Third,False
1,male,,Third,True
0,male,25.0,Third,True
0,male,60.0,First,True
0,male,52.0,Second,True
0,male,44.0,Third,True
1,female,,Third,True
0,male,49.0,First,False
0,male,42.0,Third,True
1,female,18.0,First,False
1,male,35.0,First,True
0,female,18.0,Third,False
0,male,25.0,Third,True
0,male,26.0,Third,False
0,male,39.0,Second,True
1,female,45.0,Second,True
1,male,42.0,First,True
1,female,22.0,First,True
1,male,,Third,False
1,female,24.0,First,True
0,male,,First,True
1,male,48.0,First,False
0,male,29.0,Third,True
0,male,52.0,Second,True
0,male,19.0,Third,True
1,female,38.0,First,True
1,female,27.0,Second,True
0,male,,Third,True
0,male,33.0,Third,True
1,female,6.0,Second,False
0,male,17.0,Third,False
0,male,34.0,Second,True
0,male,50.0,Second,True
1,male,27.0,First,False
0,male,20.0,Third,True
1,female,30.0,Second,False
1,female,,Third,True
0,male,25.0,Second,False
0,female,25.0,Third,False
1,female,29.0,First,True
0,male,11.0,Third,True
0,male,,Second,True
0,male,23.0,Second,True
0,male,23.0,Second,True
0,male,28.5,Third,True
0,female,48.0,Third,False
1,male,35.0,First,True
0,male,,Third,True
0,male,,Third,True
1,male,,First,True
0,male,36.0,First,False
1,female,21.0,First,False
0,male,24.0,Third,False
1,male,31.0,Third,True
0,male,70.0,First,False
0,male,16.0,Third,False
1,female,30.0,Second,True
0,male,19.0,First,False
0,male,31.0,Third,True
1,female,4.0,Second,False
1,male,6.0,Third,False
0,male,33.0,Third,True
0,male,23.0,Third,True
1,female,48.0,Second,False
1,male,0.67,Second,False
0,male,28.0,Third,True
0,male,18.0,Second,True
0,male,34.0,Third,True
1,female,33.0,First,True
0,male,,Third,True
0,male,41.0,Third,True
1,male,20.0,Third,True
1,female,36.0,First,False
0,male,16.0,Third,True
1,female,51.0,First,False
0,male,,First,True
0,female,30.5,Third,True
0,male,,Third,False
0,male,32.0,Third,True
0,male,24.0,Third,True
0,male,48.0,Third,True
0,female,57.0,Second,True
0,male,,Third,True
1,female,54.0,Second,False
0,male,18.0,Third,True
0,male,,Third,True
1,female,5.0,Third,True
0,male,,Third,True
1,female,43.0,First,False
1,female,13.0,Third,True
1,female,17.0,First,False
0,male,29.0,First,True
0,male,,Third,False
0,male,25.0,Third,True
0,male,25.0,Third,True
1,female,18.0,Third,True
0,male,8.0,Third,False
1,male,1.0,Third,False
0,male,46.0,First,True
0,male,,Third,True
0,male,16.0,Second,True
0,female,,Third,False
0,male,,First,True
0,male,25.0,Third,True
0,male,39.0,Second,True
1,female,49.0,First,True
1,female,31.0,Third,True
0,male,30.0,Third,True
0,female,30.0,Third,False
0,male,34.0,Second,True
1,female,31.0,Second,False
1,male,11.0,First,False
1,male,0.42,Third,False
1,male,27.0,Third,True
0,male,31.0,Third,True
0,male,39.0,First,True
0,female,18.0,Third,True
0,male,39.0,Second,True
1,female,33.0,First,False
0,male,26.0,Third,True
0,male,39.0,Third,True
0,male,35.0,Second,True
0,female,6.0,Third,False
0,male,30.5,Third,True
0,male,,First,True
0,female,23.0,Third,True
0,male,31.0,Second,False
0,male,43.0,Third,True
0,male,10.0,Third,False
1,female,52.0,First,False
1,male,27.0,Third,True
0,male,38.0,First,True
1,female,27.0,Third,False
0,male,2.0,Third,False
0,male,,Third,True
0,male,,Third,True
1,male,1.0,Second,False
1,male,,Third,True
1,female,62.0,First,True
1,female,15.0,Third,False
1,male,0.83,Second,False
0,male,,Third,True
0,male,23.0,Third,True
0,male,18.0,Third,True
1,female,39.0,First,False
0,male,21.0,Third,True
0,male,,Third,True
1,male,32.0,Third,True
1,male,,First,True
0,male,20.0,Third,True
0,male,16.0,Second,True
1,female,30.0,First,True
0,male,34.5,Third,True
0,male,17.0,Third,True
0,male,42.0,Third,True
0,male,,Third,False
0,male,35.0,Third,True
0,male,28.0,Second,False
1,female,,First,False
0,male,4.0,Third,False
0,male,74.0,Third,True
0,female,9.0,Third,False
1,female,16.0,First,False
0,female,44.0,Second,False
1,female,18.0,Third,False
1,female,45.0,First,False
1,male,51.0,First,True
1,female,24.0,Third,False
0,male,,Third,True
0,male,41.0,Third,False
0,male,21.0,Second,False
1,female,48.0,First,True
0,female,,Third,False
0,male,24.0,Second,True
1,female,42.0,Second,True
1,female,27.0,Second,False
0,male,31.0,First,True
0,male,,Third,True
1,male,4.0,Third,False
0,male,26.0,Third,True
1,female,47.0,First,False
0,male,33.0,First,True
0,male,47.0,Third,True
1,female,28.0,Second,False
1,female,15.0,Third,True
0,male,20.0,Third,True
0,male,19.0,Third,True
0,male,,Third,True
1,female,56.0,First,False
1,female,25.0,Second,False
0,male,33.0,Third,True
0,female,22.0,Third,True
0,male,28.0,Second,True
0,male,25.0,Third,True
0,female,39.0,Third,False
0,male,27.0,Second,True
1,female,19.0,First,True
0,female,,Third,False
1,male,26.0,First,True
0,male,32.0,Third,True
